,ticker,name,sectors,industry
324,CLNINDIA,Clariant Chemicals (India) Limited,Basic Materials,Specialty Chemicals
325,CLSEL,N/A,N/A,N/A
326,CMICABLES,CMI Limited,Industrials,Electrical Equipment & Parts
327,CMSINFO,CMS Info Systems Limited,Industrials,Specialty Business Services
328,COALINDIA,Coal India Limited,Energy,Thermal Coal
329,COASTCORP,Coastal Corporation Limited,Consumer Defensive,Packaged Foods
330,COCHINSHIP,Cochin Shipyard Limited,Industrials,Aerospace & Defense
331,COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical,Restaurants
332,COFORGE,Coforge Limited,Technology,Information Technology Services
333,COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products
334,COMPINFO,Compuage Infocom Limited,Technology,Electronics & Computer Distribution
335,COMPUSOFT,Compucom Software Limited,Consumer Defensive,Education & Training Services
336,CONCOR,Container Corporation of India Limited,Industrials,Railroads
337,CONFIPET,Confidence Petroleum India Limited,Energy,Oil & Gas Refining & Marketing
338,CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Capital Markets
339,CONTROLPR,Control Print Limited,Industrials,Business Equipment & Supplies
340,CORALFINAC,Coral India Finance and Housing Limited,Real Estate,Real Estate Services
341,CORDSCABLE,Cords Cable Industries Limited,Industrials,Electrical Equipment & Parts
342,COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs
343,COSMOFIRST,Cosmo First Limited,Consumer Cyclical,Packaging & Containers
344,COUNCODOS,Country Condo's Limited,Real Estate,Real Estate—Development
345,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts
346,CREATIVE,Creative Newtech Limited,Technology,Electronics & Computer Distribution
347,CREATIVEYE,Creative Eye Limited,Communication Services,Entertainment
348,CREDITACC,CreditAccess Grameen Limited,Financial Services,Credit Services
349,CREST,Crest Ventures Limited,Financial Services,Financial Conglomerates
350,CRISIL,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges
351,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
352,CROWN,Crown Lifters Limited,Industrials,Rental & Leasing Services
